"GBSid","PH","LW","FT"
5375,161,30,NA
5109,143.2,34.05,57
1673,117,21.8,61
2352,97.63,33.32,41
1524,149.8,22.94,52
387,135.9,29.55,55
82,122.5,26.7,69
1201,103.55,14.26,47
1196,125.9,18.7,65
1368,142.5,35.1,61
772,121.4,18.1,58
3465,161,11.9,54
4834,157.4,36,63
2012,142.22,16.7,47
1279,174.61,32.17,72
5972,143.1,24.4,45
1588,126,25.8,60
4298,188.3,31.8,61
2796,133,22.6,NA
2492,199.4,33.52,60
849,175.2,21.1,79
3420,172.6,24.64,61
1318,177.4,34.3,60
4418,180.66,26.83,59
4347,156.7,26.2,56
3224,127.4,31.6,47
4282,169.1,35.7,64
4883,193.6,35.2,63
2507,144,26.6,61
1813,149.4,17.6,39
3893,95.2,17.74,51
1984,158.6,19.3,61
3149,125.8,39.02,50
5740,164,27.4,60
4530,150.9,26.04,63
4708,131.5,36.5,49
2263,171.7,21.4,68
1653,128,23.8,61
4566,176.8,28.2,69
4341,160.1,31.1,69
2660,88,12.4,59
3152,139,41.3,47
50,124.6,26.8,63
3049,122.72,29.16,66
5094,220.6,31.2,77
855,184,25.8,87
1026,202.6,40,66
3896,110.9,15.8,45
2385,115,7.9,58
184,138.2,24.2,60
2301,178.4,25.24,70
1218,155.9,34.2,85
2808,101.4,23.2,58
4055,138.5,29.6,78
4781,143.53,24.73,64
1820,152.2,31.2,48
2790,91.6,13,62
564,111.99,25.8,59
850,212,43.5,58
560,124,30,76
338,141,23.6,52
1705,115.4,16.8,71
1961,175.6,33.4,61
5214,145.7,24.5,61
3779,149.7,28,53
5260,168.4,29.2,62
3332,141.78,23.4,67
178,112.8,27.8,51
5419,114.4,27.56,38
1315,170.52,23,74
4847,168.698,30.54,62
3739,151.2,36.6,62
3380,199.6,28.5,46
94,123,23.2,55
814,210.6,25.8,62
4673,151.8,37.7,60
1064,146,37.32,62
1658,179.4,30.74,51
1774,100,17.2,51
1109,214.6,32.54,59
1929,194.9,26.2,58
1830,118,21,47
1044,155.6,29,61
5446,147.5,41.74,42
4043,147.7,21.4,61
70,160,29.5,62
2140,120.3,26.2,88
1504,125.4,29.18,48
2537,152.8,35.54,58
3330,112.48,17.12,61
4512,138.1,28.1,64
1660,99,21,45
5962,162.25,23.57,50
2683,118,10.2,82
856,148.33,36.45,55
3645,209.1,39.3,79
5362,176.625,29.25,80
4052,121.2,31.8,78
1755,89,15.8,59
3971,172.3,29.36,69
5044,126.2,20.78,63
3826,151.6,20.34,63
1538,145.2,28.4,51
4881,156.33,28.67,66
4201,116.2,22.2,54
1075,177,26.6,63
4250,137.58,29.99,50
257,132.8,27.6,69
1509,139,26.28,63
295,171.8,26.5,59
3749,177.4,34.3,62
5904,150.8,22.2,63
4120,145,13.6,59
3825,185.2,32.8,61
2812,148.24,29.28,69
2652,165,25,60
2643,153,38.6,76
1602,129.4,32.3,59
3146,119.6,35.3,47
1444,174.2,25.2,71
1726,76,10,45
5354,97.1,14.8,36
4904,147.6,28.6,72
86,126.3333333,33.73333333,57
4094,131,28,62
827,155.2,18.9,68
192,140.6,32.5,54
4432,175,16,61
3816,144.6,18.92,64
1717,145,14.3,68
5986,130.2222222,27.03333333,36
4160,162,38,59
5985,150.4,22.63,46
